,file,speaker,sentence,lang
0,citizen_sub_8a17,LETTER,Les demi-vérités de la SHM Roland Hakim 1/7/2010Les,fr
1,citizen_sub_8a17,LETTER,"Les demi-vérités de la SHM Dubitatif, septique",fr
2,citizen_sub_8a17,LETTER,Le maire Gérald Tremblay a dit vouloir gouverner autrement.,fr
3,citizen_sub_8a17,LETTER,Vat-il répondre aux attentes de la majorité et leurs aspirations?,fr
4,citizen_sub_8a17,LETTER,........................................................................................................................ 2 Et ce qui vient d’etre publié par la SHM.............................................................................................. 3 3.,fr
5,citizen_sub_8a17,LETTER,La longueur de l’emprise..................................................................................................................,fr
6,citizen_sub_8a17,LETTER,L'étude de la qualité de l'air ............................................................................................................. 5 5.,fr
7,citizen_sub_8a17,LETTER,La longueur des parcours et l’économie ...................................................................................,fr
8,citizen_sub_8a17,LETTER,.......................................................................................................... 8 5.3 Consultation avec les autorités de la santé publique :,fr
9,citizen_sub_8a17,LETTER,.............................................................. 8 5.4 Le nombre de passage d’autobus .............................................................................................,fr
10,citizen_sub_8a17,LETTER,Tourner à gauche sur Brennan et tout de suite après sur Dalhousie alors que les trams sont prévues sur Brennan.,fr
11,citizen_sub_8a17,LETTER,Le nombre de voies actuel et futur ................................................................................................ 15 8.,fr
12,citizen_sub_8a17,LETTER,"Le CN est très ouvert, alors qu’il ne s’est même pas prononcé.",fr
13,citizen_sub_8a17,LETTER,L’objectif d’une entré de ville Prestigieuse ....................................................................................,fr
14,citizen_sub_8a17,LETTER,Les espaces récupérés pour la construction.,fr
15,citizen_sub_8a17,LETTER,Le poste de police .......................................................................................................................... 20 12.,fr
16,citizen_sub_8a17,LETTER,L’étude sur le patrimoine :,fr
17,citizen_sub_8a17,LETTER,Consultations publiques volontaires à ce stade-ci et sans-obligations ..................................,fr
18,citizen_sub_8a17,LETTER,en tant que communicateurs de dire la vérité,fr
19,citizen_sub_8a17,LETTER,"En conclusion................................................................................................................................. 24 A noté que toutes les photos, tableaux, extraits etc.",fr
20,citizen_sub_8a17,LETTER,"présentés ici, proviennent des documents disponibles sur le site de l’OCPM.",fr
21,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 1.,fr
22,citizen_sub_8a17,LETTER,Le maire Gérald Tremblay a dit vouloir gouverner autrement.,fr
23,citizen_sub_8a17,LETTER,Vatil répondre aux attentes de la majorité et leurs aspirations?,fr
